上海鹤奔物流有限公司,"上海鹤奔物流有限公司是专业第三方物物流,整车,零担,全国货运."
上海京旭物流有限公司,我公司成立于1997年，承接全国各地货物运输，寄托与上海大型物流区域交通便利各种大中小型车辆齐全，全天候为您服务。
新邦物流嘉定分公司,多年来，公司在石浩文总经理的领导下，抢抓机遇、敢想敢为，艰苦创业、与时俱进，以果敢的胆识，通过启动社会资源，与不拘一格提拔人才，成功走出一条具有新邦特色的发展之路。公司以“团结拼搏、做强做大做久”的企业精神；以“城际网络运输、一家连锁”的运作模式实现了从零起步的跨越式发展，创造了产值连年翻番、效益连年增长、服务连年优化、实力连年攀高的辉煌业绩，力争五年内成为国内最具特色的名牌企业。坚强勇敢、诚信踏实的新邦人正以坚定的步伐认认真真、诚诚恳恳地走好每一步，计划2007开始，公司继续以航空运输为核心主业，加快对公路运输、城际配送、国际运输等业务发展的步伐，全面提升三大业务的市场占有率，增加服务附价值，拓展服务领域，向打造陆海空三位一体的运输新格局迈进，公司计划在2007到2010年在国内10个中心城市建造现代化的物流配送中心，在100个城市设立分公司及营业部，服务网点达到1000个，网络覆盖500个城市，全面实现网络信息化、作业机械化、管理智能化、办公自动化的发展目标，以产业战略推动资本战略，以资本战略带动产业战略的大提升，实现与国际市场的全面接轨，把新邦物流打造成为国内领先、国际知名的物流强企。目前，新邦物流华东区域更是以光的速度向前发展，目前已开能上海至广东主要发达城市两天到门的汽运快线服务，以及江浙件今发明至的专线服务，另外，我们正在华东取得南航的一级代理空运业务，将能为您提供更好的服务。
凯迅国际物流有限公司,业务范围包括：进口报关（空运、海运）、出口报关（空运、海运）、出口订舱（海运、空运）、海运出口拼箱、内陆运输、水陆联运、内河航运、沿海航运、铁路运输、保税区（中转、出口报关、进口报关、仓储）、商检报验、集装箱运输、仓储内装等多项衍生服务、保险代理等业务。
专线联盟上海联享物流有限公司,上海联享物流发展有限公司是由多家物流企业共同投资组建的管理型实体公司，于2007年2月8日在上海西北综合物流经济园区注册成立，注册资本100万元(年内增资500万元)。是专业从事货物运输、搬运、装卸、仓储、分拨、区域配送、信息处理、物流方案设计和物流咨询的管理型第三方物流企业。上海联享物流发展有限公司是运作上海物流专线联盟的实体法人公司。服务网络以上海物流专线联盟会员网络为基点(会员专线224家)，辐射全国200个以上所有省会城市、直辖市、自治区和地级城市及周边城镇。能够迅速安全地把到达全国各地的整车、零担货物运达目的地。目前，公同现有员工127名，大专以上文凭93名。公司中高层领导全部是有着5年以上的物流从业经验，所有专线联盟会员企业都是有近十年的物流运输服务经验。公司建有1187平方米第一营销办公中心，7393平方米第一运营中心，13000多平方米仓储中心。公司以“专线联盟”为品牌影响力，以先进的物流理念和物流信息系统为依托，为客户提供优质的物流服务和优惠的运营价格。上海联享物流发展有限公司将立足上海辐射华东，面向全国，着眼世界！秉承物流专线联盟的“大物流、大品牌”的经理理念，资源共享，共创双赢！“联享物流”竭诚与社会各界朋友真诚合作，与新老客户携手共进、共同发展！
上海菲铂欧国际物流有限公司－市场部,"上海菲铂欧国际物流有限公司(SHANGHAIF.B.OINTERNATIONALLOGISTICSCO.,LTD.)，是经中华人民共和国对外贸易经济合作部批准，国家工商行政管理局注册成立的国际物流企业。公司拥有海运和空运的一级货代经营执照。菲铂欧公司除了在上海总部外，同时在中国经济发展最具活力的沿海港口及内陆城市:宁波，青岛，大连，深圳,重庆，成都等均有合作公司，可以承接内陆江河运输和内陆直接出口货物。公司集国际空运、海运、仓储、报关、陆运、国际快递和非贸易运输，海空联运等一体的现代物流服务功能，公司在海外拥有广泛的代理网络。"
上海诚翠物流有限公司（服务部）,公司属于第三方物流，公司成立于2005年，有自己的车队，车辆型号有集卡车、平板成、挂靠车、及大小型散货车。公司以诚信经营的态度，博得了许多新老客户的青睐。
上海瑞圆国际物流有限公司,"上海瑞圆国际物流有限公司是一家具有国家一级货运代理资质的专业物流公司.公司在运价和舱位方面独具优势.无论何时,瑞圆都以“服务、诚心之企业精神与顾客至上，不断完善”的经营理念作为企业宗旨，不仅在规模上，更在防外服务品质上，向更高的标准而努力，希望广大客户与瑞圆携手共同开拓新的市场。本公司承办海运、空运进出口货物和国际展品的国际运输代理业务，包括：揽货、订舱、仓储、中转、集装箱拼装箱、结算运杂费、报关、报检、相关的短途运输服务及运输咨询业务。"
上海申惠达物流有限公司,"公司专业从事上海至全国航空货运服务,主要办理普货,急件,鲜活等货物的航空托运,并提供东航国航上航南航等航班的舱位预定,真诚为您的托付保驾护航,咨询电话021-51876925可承接外省市空运到港货物的市内派送和江浙方向的中转，现特设上海至深圳广州及北京16小时快速限时货运服务;同时可为客户代收货款和异地结算,力求以最合理的物流设计方案满足客户需求."
上海佳耀物流有限公司,"我司是一级货代,专做国际海,空运出口,从定仓到报关,运输等一条龙服务,价格优惠,国内运输价格也非常的有优势,(白卡以及特种车都有)"
上海鹏旭物流有限公司客服部,上海鹏旭物流有限公司于2004年正式注册成立。是一家具有法人资质的物流运输企业，公司坐落于上海西南物流园区，集公路货物运输、仓储、零担配送于一体的大型物流运输企业。上海鹏旭物流有限公司依靠300余部冷藏、保温、普货长途运输车辆，60余部市内配送车辆，开展华南地区综合公路运输业务。在公司多年的不断探索和发展中形成了“诚信和信誉比生命还重要”的企业理念，依靠强大的自备车队资源，优良的仓储设施、发达的公路运输网络、高效的计算机信息系统、专业化的管理人员、高素质的员工队伍，现形成了现代化的大宗货物营运物流企业。我们服务的宗旨是“以服务赢得市场，以信誉求得发展”。目前集团公司的业务已遍及全国各地，先后在华东、华南、华中、华北及西部地区，建立了营运网络，并完善了其服务功能，而我公司（鹏旭物流）则立足于长三角和珠三角地区，业务遍及整个华南地区。公司为了发展进一步的拓展到其他区域，发展战略性联营伙伴总计53家。
上海达欣国际物流有限公司,上海达欣国际物流有限公司，致力于为全球客户提供全方位的第三方物流服务。总部设立于上海，业务覆盖广州、连云港、青岛等全国各大港口。上海达欣国际物流有限公司对外承接海运陆运进出口货物的国际运输代理业务，包括订舱、中转、仓储、集装箱拆装、拼装、报关、保险、内陆运输、多式联运服务及相关咨询业务。并与长荣，MSC，马士基海陆，东方海外及以星等船公司保持密切的合作关系，为客户量身打造最经济最便捷的运输途径及方式，时刻满足客户的需求。达欣凭借着高效、安全、专业、便捷、经济的服务宗旨，以最优质的服务来满足客户的需求，以丰富的国际运输经验消除物流中潜在的风险和障碍，以最有冲击力的价格为客户降低物流成本。达欣国际物流将通过自身的不懈努力，发展成物流资源整合最优化的现代国际物流企业。我司与国际上多家船公司保持业务往来，与多家船公司保持合约运价协议。可代理进出口货物的租船订舱、报关报检业务；并承接国内及海内外航线整箱、拼箱业务，同时凭借多年的行业经验和信誉，整合多方优势资源，开辟多条优势航线，以保证为客户提供最经济、优质的服务。公司主营航线涵盖：美西，美东，欧洲，地中海，中东主营业务：1.海运进口集装箱运输（FCL）：利用港口班轮密集的优势，配备内陆拖车和驳船接驳服务，不管船期要求多么紧迫，达欣都能够为客户提供灵活多样的选择，包括不同的起运港口；不同的船公司。散货拼箱（LCL）：承揽海运出口拼箱业务，包括同行客户的询价、订舱、代报关等以航线区分的专业操作服务。达欣主导航线欧洲，美加，每周定期直拼，并在目的港以最合理、最快速的方式分拨到相邻每个角落。2.门到门公司拥有多台大型集装箱卡车和散货卡车，为您提供集装箱门到门及散货运输服务。达欣致力于为客户提供方便、高效、低成本的到达中国各个港口及内陆点的整体物流解决方案。3.仓储业务范围涉及货物的储存、装卸、保管、养护、中转，同时为客户提供货物的分检、整理打包、刷唛、组装等相关服务项目。我们的宗旨：以最优质的服务为客户降低物流成本，以最专业的经验消除物流中的障碍与风险，为客户提供全球航线最完美周到的方案。
上海创博物流有限公司（业务部）,上海创博物流有限公司（业务部）是一家专业的物流、货运、搬运、搬家、托运、运输、快递、速运私营有限责任公司，上海创博物流有限公司（业务部）致力于打造中国最大、最专业的物流、货运、搬运、搬家、托运、运输、快递、速运企业。公司总部位于上海市祁连山路2400号，拥有庞大的服务网点，上海创博物流有限公司（业务部）高覆盖、高效率的服务获得多家公司和机构的认可。上海创博物流有限公司（业务部）将以最专业的精神为您提供安全、经济、专业的服务。
虎桥国际货运代理进出口情关报关公司,"大家好，我是虎桥国际货运代理公司我是成鹏飞021-60893457虎桥国际货运代理公司，我公司所开展的业务完全符合国家法律在互惠互利的前提下，让顾客在3分钟内有满足货主物流方案。从事进口代理也有10年了※代理清关报关商品，二手机电，化工类，木材类，食品类，杂货类，等各类商品的报关清关服务※代理服务范围：报关、商检、植检、订仓、国内运输、中港运输、产地证（CO）及香港大使馆加签、熏蒸消毒证书、普惠证（FORMA）及以上其它的通关手续。贵公司只需提供准确详细的装箱清单，包括品名、净重、毛重、包装、数量、规格、品牌、口岸、目的地等装箱资料，我们就能做出一套满足您需求的物流方案！虎桥国际货运代理公司，提倡客户至上,服务专业,讲究信誉，价格合理的宗旨,为您提供最系统，最省钱，最专业的服务!正是一直以客户至上，精益求精的理念。赢得了客户和同行业的一致好评，口碑不断上升。联络人：成鹏飞电话：021-60893457手机：QQ:1968379095Email：sinway2@163.com国内网点:华东上海业务中心（供应链物流总部）地址：上海浦东新区张杨路3611号金桥国际商业广场16座1601苏州业务中心地址：苏州昆山开发区.伟业路18号.现代广场A座1309-10室宁波业务中心地址：浙江宁波市彩虹南路11号嘉汇国贸中心A1504号华南深圳业务中心地址：深圳市龙华东环一路泽华大厦1313-1315室东莞业务中心（外资企业进口项目）地址：东莞市南城区.元美路.华凯广场B栋1003-1006厅华北天津业务中心地址：天津市河西区大沽南路857号国华大厦1002室青岛业务中心地址：青岛市南京路12号伟东尚城301室广州业务中心地址：广州市黄埔区黄埔港.大沙东路6号.裕港大厦1313-15厅"
上海美航泛太物流有限公司,美航国际货运有限公司是国家外经贸部批准的一级国际货运企业，总部在上海，大连、青岛、天津、南京、深圳都已成立分公司，同时，公司于05年在美国洛杉矶，纽约设立分公司。公司于2003年初经交通。我司为台湾航运股份部批准在上海注册成为无船承运人（证书编号：MOC-NV00840，公20司名称：上海美航泛太物流有限公司），经过十多年的发展，我公司已拥有完善的国际代理网络，海外代理遍及世界各地。有限公司大连总代理，提供大连直航到香港、台湾的周班服务，可向广大客户提供最优惠的运价和充足的舱位。我司亦为挪威华轮-威尔森（中国）船务有限公司东北地区总代理，可承接大连至中东航线及世界各地滚装货物、大型机械设备等。公司以海运进出口集装箱代理业务为主，并可为客户提供通关、报检、仓储、转运、制单结汇、保险、内陆拖车等相关服务及运输咨询业务。我们的优势航线主要有美国、南美，非洲、中东、东南亚、欧洲、地中海等，公司与多家船公司建立了长期稳固的合作代理关系，如与马士基、地中海航运、南美邮轮、意大利海运、南非国家航运、日本邮船、阳明海运、中远、中海，长荣海运等船公司签有运价合约。同时，公司的海外代理不仅可以提供以上地区港口的服务，而且可将服务延伸到内陆地区及至客户的到门服务。我们会以最热情的态度和最细致的工作为您提供最优质的服务，相信我们的真诚能赢得您的支持与合作。
上海乾龙国际物流公司,上海乾龙国际公司成立于2003年，办公地点在上海。主要办事处有北京，上海，宁波。海运正出发展中，空运绝对强势，欢迎各位前来咨询！！！
上海易全物流服务有限公司,上海易全物流服务有限公司于2003年12月成立是一家专业从事物流、仓储、配送、运输为一体的专业物流服务企业。公司主要提供高档消费品行业，如化妆品行业、药品及医疗器械行业、电子产品领域的物流服务。公司利用航空运输、铁路运输、公路运输和市内快递配送立体化的物流网络优势和先进的管理技术，并为客户提供专业、高效、全方位优质服务。易全公司宗旨易全公司将致力于中国物流产业的发展和配送行业的信息产业化，并以此为各行业的客户及合作伙伴利用交通资源提供更加方便、经济，更加高效、优质的服务。公司经营理念关于客户以客户的客户为中心，帮助我们的客户成功。把我们的存在转化为客户的战略资源，把我们的服务转化为客户的竞争优势。关于合作伙伴合作伙伴也是我们的客户。关于公司每一个岗位，每一天，在每一个环节，尽可能用最好的方式干好每一件事。不断通过系统思考去发现问题、解决问题不仅是对每一个员工的学习创新能力的要求，更是易全作为一个学习性组织可持续发展的基础和原动力公司的业务运作以客户为中心，减少客户所交涉的部门，尽量做到客户的所有业务手续由专人负责。易全公司一贯遵循“客户至上”的信条，安全第一、服务第一、门到门第一、严格遵守“五不、三满意”的服务公约，诚恳、热情、周到的服务保证。易全服务我们能够根据客户的实际需要和现场状况，为客户量身定做，设计更趋于科学合理并使物料搬运和物流设备结构完美组合的存储系统，以提高仓储空间的利用率，加快存储作业速度，以实现企业物流总体成本的降低。每一项物流服务都经过实地考察、精心设计，为客户提供量体裁衣式的服务，确保每一项工作能为客户带来效益。易全目标打造一流物流品牌。目前公司提供单件20kg以下的物流配送服务项目，准点率高、破损率低、价值高、实效快，在业内极具领先地位，我们的准点率要求99%，破损率为0%。进取与创新是易全永不停息的脚步，加入WTO后，不少国外先进的物流公司会滚滚而来，机遇与挑战并存，在这种浪潮的冲击下，我相信我们会磨练地更坚实，展现地更绚丽。
上海沪灿物流有限公司,"上海沪灿物流有限公司是一家具有较大规模的专门从事物流服务的专业公司,专营上海到全国各地往返货物运输配送仓储等为一体化的企业、组织健全、经验丰富、设施完善,有上百家合作伙伴,并承接市内短驳、配送业务.公司备有各种吨位的各型车辆,可承接大、小吨位货物(整车零担均可)可为货物代办保险,在合作运行期间保证贵公司货物安全24小时为您提供货物查询、业务咨询、实现诚信、准时、安全、便利的服务目标,并保证运输价格合理低廉.公司可为客户提供门到门的服务。在多年的物流经营中，经过严格考核，挑选出全国各地100余家合法的、信誉好的大型物流企业签定了联运合同，进行联网经营。所以沪灿物流公司能严格保证在全国各地有充足的车源，随时可以调配，您只要有货，无论何时、何地，本公司就能立即、迅速提供上门提货，安全、可靠、快速直达的货运服务。公司本着“安全快捷，重守诚信，适价经营，完善服务”的经营理念，在最大可能降低运输及管理成本的前提下，为客户提供优质、高效的服务；得到了广大客户的认可和支持。在充分发挥利用已具有的管理经验和经营优势的同时，提升服务质量；把握好经营战略上的市场定位。公司在未来的发展中将以一流的服务与各界新老客户友好合作，携手并进，共同创造美好的明天。多年来我公司一直致力于大中型生产企业的原材料采购与产品销售的供应链服务，根据不同的客户进行量体裁衣制定出个性化的物流方案，并完美的衔接起客户端信息处理系统。正是在与强强联手的运营环境中我公司的管理水平更趋于严谨科学。沪灿物流在实力飞跃发展的今天，为各种客户的不同需求得到满足，奠定了坚实的基础。也为中国的经济腾飞，物流行业的规范迅速发展作出了一定的贡献。联系电话:021-63635019/52845986传真：021-63634589手机：地址：上海市普陀区敦煌路473号"
上海虎桥物流进出口有限公司,上海虎桥物流进出口有限公司是一家专业的进口代理，进口报关商检、进口代理，报关、进口物流服务、进口门到门服务、二手机械进口报关、化工品进口代理、木材进口代理、耗材进口、退税、收汇、拖车、全套代理合资经营企业(港或澳、台资)，上海虎桥物流进出口有限公司致力于打造中国最大、最专业的进口代理，进口报关商检、进口代理，报关、进口物流服务、进口门到门服务、二手机械进口报关、化工品进口代理、木材进口代理、耗材进口、退税、收汇、拖车、全套代理企业。公司总部位于上海香港广州深圳东莞苏州宁波青岛天津，拥有庞大的服务网点，上海虎桥物流进出口有限公司高覆盖、高效率的服务获得多家公司和机构的认可。上海虎桥物流进出口有限公司将以最专业的精神为您提供安全、经济、专业的服务。
上海超泰物流有限公司(物流部),上海超泰成立于2000年4月，公司拥有大、小车辆50余部。主要承接上海至西安、广州以及全国各地的货物运输。公司本着合法经营、诚实守信的原则，赢得广大客户的信任。建立一批固定的客户群体。公司为客户办理全国运输业务，代收货款，为外地客户代办发运。超市配送等服务。欢迎来电咨询以及到本公司实地考察。
翔领空运物流有限公司,翔领货运有限公司是一家专业化、社会化、综合性的国际货运代理公司。公司自成立以来，凭籍着对快运事业的孜孜追求和对社会的强烈责任感，几经艰辛，几经拼搏，在激烈的市场竞争中走出一条持续、高速、稳健的发展道路，公司每年均保持超过20%的增长速度。几年间，翔领先后在香港、西安、成都、南海、厦门、深圳、北京、天津、上海、重庆、南京、福州、杭州、常州、宁波、临海、温州、青岛、济南、郑州、合肥、长沙、武汉、大连、南昌、海口、阳江、韶关以及珠江三角洲的所有卫星城市的同行代理建立了良好、长期的业务合作关系，同时在美国、日本、加拿大、新西兰、墨西哥、埃及、南非、法国、英国、澳大利亚拥有大量合作伙伴(东航、上航、国际、英航、法航、全日空、马航、港龙等)，具有权威的国际航空运输价格，逐步形成了较为完善的快递网络。另外本公司可提供国际化工运输的详细资料。公司坚持在信息技术方面的不断投资，以提高服务的附加值，新近斥巨资建立一套先进的快件查询追踪系统，大大加快了客户的信息反馈速度，客户可直接上网查询货物的流向并随时获得翔领的最新资讯。“路漫漫其修远兮，吾将上下而求索”，放眼未来，翔领人踌躇满志。为能更好地服务顾客和增强公司自身的竞争力，我们诚邀有志于快运事业的代理携手合作，不断扩大企业的服务网络，以期为客户提供更完善之服务。
上海苏星物流发展有限公司,上海苏星物流发展有限公司上海至全国各地整车、零担往返运输，回程车价格，安全、准时。配有大件货物运输车，冷藏、冷冻车。具有危险品运输资格证。经理：曾广平电话：上海工商注册号：69税号：沪字3096开户行：中国建设银行上海市真新支行帐号：050001423由中国平安财产保险公司承担并代理货运保险地址：上海市普陀区真南路1189号电话：52846886E-mail:suxingwuliu@vip.163.com
上海兰克物流有限公司,兰克简介上海兰克物流有限公司是经国家工商局正式批准成立的一级货运代理公司，是一家集海陆空于一体的专业物流公司。目前，公司在丹东、青岛、天津、上海、宁波均成立了分公司或办事处，物流网络覆盖全国主要城市，客户遍及大江南北，年集装箱运输量30000TEU以上。我司现有4000平方米标准仓库及10000平方米标准堆场，并有128台集装箱运输车辆。我司每月空运出口量达800多吨，海运集装箱1500TEU。公司资金雄厚，拥有一批高素质、经验丰富的专业操作人员。我们愿以“低价位，高质量”的宗旨竭诚为国内外客户提供海、陆、空全方位的服务。具体业务如下：1．承办海运、空运进出口货物的国际运输代理业务。2．进口集装箱、散杂货物的报关提货。3．出口海空集装箱、散杂货物的租船、订舱、签单、报关等4．进口货物的仓储、中转、集装箱、拼装拆箱。5．代理进出口货物的商检、动植检、卫检等各种检验。6．代办保险、产地证及相关的短途运输服务。7．提供国际国内有关运输的咨询业务。我司常年经营日本线、中东线、东南亚线、澳洲线、印巴线、欧地线、红海线、美基线，在价格与服务上有绝对优势与各船公司关系良好。我们深知，兰克的成功，来源于各界朋友的支持和信赖，来自公司全体员工的不懈努力。我们的追求就是———永远给客户更好的服务
上海吉尊物流有限公司运营部,公司建于1996年现有自备车辆30多辆卫星定卫。上海有2000平方仓储能力。主要运输线路上海一长春专线运输主要服务于一汽和东三省汽车企业。服装。长春公司也备有1800平方仓储的能力，希望能和有实力，有成信的企业和同行合作共同发展。
上海简氏国际物流有限公司,上海简氏国际物流有限公司是经国家商务部批准备案并享有自营进出口经营权的一级国际货运代理企业公司通过多年的实践操作和稳步运营，积累了丰富的国际货运操作经验。拥有一批训练有素，经验丰富，尽责敬业的专业操作人员，有效地保障了优质的操作水平的服务质量，保证了客户委托货物出运的安全性和可靠性，使广大中外商客的货运及采购成本最大限度的降低。我司专走欧美中东东南亚航线价格特优惠如您有货需要代理请联系我MSNjigang1984629@hotmail.comEMialjack1984629@sina.com
上海恒晖物流有限公司－业务部,上海恒晖物流有限公司是一家专业的物流运输企业。它成立于二零零一年，注册在青浦区农工商经济城，现经营地址在闵行区南方物流园区（都会路3980号K-A2），是一家实力较雄厚的私营股份制企业。公司经过近六年的发展，得到了很大的壮大，现于北京、天津等地都成立了分公司；工作人员也由两人增加到40多个；运输车辆从一部增加到了十几部，其中上海牌照就有7部；仓库面积从60平方米增加到现在的500平方米，北京的仓库则560平方米，天津等地的也近300平方米。上海恒晖物流有限公司在不断创立最佳服务质量信誉，最佳企业形象的同时，超前完成了设备更新，人才培养的工作。现公司已造就了一支精力充沛、技术娴熟、经验丰富的驾驶员队伍，和以“顾客至上”为理念的资深物流管理专家及认真敬业的工作人员，阵容强大，管理严格。相信你对我们的信赖，会换回安全、可靠、快速直达的货运服务。我们的宗旨：安全快捷价优我们的精神：务实创新高效我们坚信：超越源于速度品牌来自服务细节决定一切
上海汇聚物流有限公司北方分公司,上海汇聚物流有限公司是一家大型物流企业，经上海市联运办，工商局，税务局批准发照，专门从事物流服务的专业化公司，专营上海至安徽省公路货物托运业务、门对门服务，代办保险。逐步形成以合肥市为主，辐射周边的快速运输体系。公司备有各种吨位的敞蓬车，高栏车，半封闭，全封闭，集装箱车，冷藏车，危险品车，大件运输车，特种车等80余部，可承接整车零担，长短途业务，公司内部采用先进的微机化管理系统，对货物全程监控，24小时为您提供货物查询，业务咨询，信息反馈等服务。实现了诚信、准时、安全、便利的服务目标，赢得了广大这客户的支持和信赖。汇聚物流对丢失，破损的货物能及时理赔。你可放心选用，让客户更省时，更省力，更省钱是汇聚人孜孜不倦的追求，更安全，更快捷，更方便是汇聚人对每一位客户真诚的承诺，准时发车工，昼夜服务，微笑待客，是汇聚人的一贯准则。汇聚人的创业是艰苦的，同时也是辉煌的，我们坚信今年是汇聚企业的新起点，而这将铸就中国运输里程碑上的又一个璀璨亮点。汇聚物流愿与您全心合作，携手并进，共创未来。
上海芳琪物流有限公司,上海芳祺物流有限公司是经上海市工商行政管理局批准注册的正规物流公司。芳祺物流主要经营全国各地的长短途整车零担公路运输业务，仓储包装、配送、搬家为一体的正规运输公司。公司自成立以来始终坚持规范化管理，人性化服务的宗旨，本着“诚信为金、服务至上”的宗旨，以“一流的设备、一流的管理、一流的调度、一流的服务”为目标，历经十年风雨现已奋斗发户服务网络，能够为顾客的货物流通、包装、仓储等提供优质服务。我公司以上海为龙头，辐射全国各地。在北京、天津、广东、福建、江浙、东三省等地成立独立分公司。并在全国十几个大中城市建立了良好的业务联盟关系，能在最快的时间内为客户提供所需服务。为满足顾客的需要。全方位的电脑、电话咨询，让您随时精确的掌握商机；专业的服务态度、尽善尽美的品质，无论是资料、包裹或是大型运输，都能迅速、安全的到达，让服务在没有距离感的情况下无限延伸！芳祺以诚信为本，愿与客户互利互惠、共同发展，通过真诚的合作，成为永久的合作伙伴！●经营理念：客户至上诚信为本●服务特色：规模化经营信息化经营专线化经营低运价经营
上海弥浩物流有限公司,上海弥浩物流有限公司成立于2000年元月，公司座落于上海物流业最繁华的北方停车场附近的景泰路上，东邻祁连山路，西、南两面邻真南路，北靠武威路。水陆交通十分便利，区位优越，发展动能充足。公司是一集仓储、运输、包装、配送为一体，经工商、交通等部门批准的合法物流企业。公司拥有一批熟悉市场经营，精通现代物流和信息管理，朝气篷勃的业务精英。本着优质高效、安全、快捷，服务客户的理念，公司于2002年进行了“面向企业、面向客户”的一系列市场化改革。凭借“天时、地利、人和”，公司上下齐心协力、精诚团结，赢得了越来越多客户的信任和支持。随着业务的不断发展，公司已经形成遍布江苏、辐射全国的服务网络。公司拥有实力强大的运输车队，能为客户提供及时快捷的物流配送服务，同时，公司建立了完备的仓储设备和完善的管理理系统，做到科学统筹配备资源，达到系统与科学的协调和统一。“奉献社会，服务大众”是我们企业的宗旨；“诚挚、诚实、诚信”，是我们的服务理念。回首过去，展望未来，公司将一如既往，自强不息，引进人才和更先进的理念，加强服务功能。发展中的弥浩人真诚希望；通过我们的密切交流与合作，携手共创美好的未来。弥浩的明天会更美好！
上海现代物流有限公司,上海现代物流有限公司是一家经国家交通、工商、税务部门，核发《道路运输许可证》、《企业经营许可证》、《税务登记证》的专业的公路运输、国内陆运、物流、货运、托运、搬家、搬场、专线私营独资企业，致力于打造中国最大、最专业的公路运输、国内陆运、物流、货运、托运、搬家、搬场、专线公司。有多年全国公路运输的专业经验，公司总部位于上海市闵行区，拥有庞大的服务网点，高覆盖、高效率的服务获得多家公司和机构的认可。全体公司员工将以最专业的精神为您提供安全、经济、快捷的服务。
上海学文物流有限公司,上海学文物流有限公司是一家专业的物流、物流公司、物流专线、货运、搬家搬场、大件运输、搬运、叉车吊车、货运公司、货运专线、国内陆运有限责任公司，上海学文物流有限公司致力于打造中国最大、最专业的物流公司、物流专线、货运、搬家搬场、大件运输、搬运、叉车吊车、国内陆运企业。公司总部位于上海市闵行区虹梅南路2029弄10号，拥有庞大的服务网点，上海学文物流有限公司高覆盖、高效率的服务获得多家公司和机构的认可。上海学文物流有限公司将以最专业的精神为您提供安全、经济、专业的服务。
上海安储物流有限公司,上海安储物流有限公司是一家专业的国内物流货运、物流公司、货运公司、货物运输、公路运输、物流、货运、运输、汽车运输、国内陆运、长途货运、行李托运、回程车、专线物流、专线货运、快运有限责任公司(自然人投资或控股)，上海安储物流有限公司致力于打造中国最大、最专业的国内物流货运、物流公司、货运公司、货物运输、公路运输、物流、货运、运输、汽车运输、国内陆运、长途货运、行李托运、回程车、专线物流、专线货运、快运企业。公司总部位于普陀区雪松路503弄159号，拥有庞大的服务网点，上海安储物流有限公司高覆盖、高效率的服务获得多家公司和机构的认可。上海安储物流有限公司将以最专业的精神为您提供安全、经济、专业的服务。
上海卓创物流有限公司-市场部,上海卓创物流成立于1998年，是注册资金1000万人民币，并通过ISO9001：2000质量管理体系认证的专业物流企业。经国家工商行政管理局批准成立的专业从事多种方式联运、仓储、报关、保险、产品包装配送（JIT）、流通加工、信息处理等一体化的3PL现代物流企业。上海卓创物流有限公司是一家集公路普通货物运输、危险品运输、大件运输、冷藏货物运输、航空运输、包装、配送、流通加工、信息化管理等为一体的第三方物流服务性企业，公司拥有2-30吨车辆有150余台，可调度车辆近1000余台，全国超过20000平方米的标准大型仓库。主要服务范围涉及物流系统规划设计、物流运作管理、信息系统的规划和信息管理，具体包括运输、仓储、装卸、包装、流通加工及配送业务。公司总部设在上海，在国内主要城市设有分公司或办事处，目前，卓创物流在苏州、南京、成都、重庆、西安、昆明、贵阳、广州、武汉、长沙、大连、北京、济南、大连、沈阳、长春等城市均设有分支机构，形成了覆盖全国的服务网络。同时建立了基于Internet的物流信息管理系统，为客户提供在线的物流动态与管理信息。公司秉承“卓越品质、创造价值”的经营理念，汇集了一批专业第三方物流人才，运用高新技术，汲取国外先进的物流管理经验，形成了自己的一系列完善的管理系统，不断提高物流运作的可靠性和客户满意度，使卓创物流倍受客户的信赖，成为许多著名企业的战略合作伙伴。
捷邦国际物流有限公司,捷邦国际物流有限公司是一家专业的国际物流私营独资企业，捷邦国际物流有限公司致力于打造中国最大、最专业的国际物流企业。公司总部位于上海，拥有庞大的服务网点，捷邦国际物流有限公司高覆盖、高效率的服务获得多家公司和机构的认可。捷邦国际物流有限公司将以最专业的精神为您提供安全、经济、专业的服务。
上海震通物流有限公司（市场部）,上海震通物流有限公司（市场部）位于上海市，主营物流服务、物流专线、货运、零担整车、全国货运专线、市内短驳、仓储包装服务等。公司秉承“顾客至上，锐意进取”的经营理念，坚持“客户第一”的原则为广大客户提供优质的服务。欢迎惠顾！
上海蓉昆物流有限公司,"上海蓉昆物流有限公司（ShanghaiRongkunLogisticsCo.,ltd.)上海港多年的海运出口（整箱，拼箱）公司，与上海港多个船公司有着多年的友好合作关系，因此海运价格具有一定优势。同时，我司的拓展业务包括：各种货物和物品的进口清关，提货送货服务，私人物品的进出口清关服务。随时恭候各位有需求的朋友洽谈合作，期待与您共谋发展，共创未来！冒昧打扰，顺祝商祺！"
上海集振物流有限公司（货运部）,上海集振物流有限公司（货运部）位于上海市普陀区祁连山路132号5号档，主营货物运输、全国公路运输、货物空运、铁路运输、船舶海运、内河运输等。公司秉承“顾客至上，锐意进取”的经营理念，坚持“客户第一”的原则为广大客户提供优质的服务。欢迎惠顾！
